productId,productName,categoryId,seriesId,confidence,reviewStatus
tmall-915657112223,自动臀部倒模款,hip-lower-body,fine-texture,0.8,provisional
tmall-856316241725,半身倒模款,half-body,fine-texture,0.8,provisional
tmall-900451599013,半身倒模款,half-body,native-skin-silicone,0.8,provisional
tmall-932717912766,半身倒模款,half-body,native-skin-silicone,0.8,provisional
tmall-1034711994048,半身倒模款,half-body,native-skin-silicone,0.8,provisional
tmall-907956953396,臀部倒模款,hip-lower-body,fine-texture,0.8,provisional
tmall-848996196197,半身倒模款,half-body,fine-texture,0.8,provisional
tmall-1055031288751,半身倒模款,half-body,fine-texture,0.8,provisional
tmall-1003179680764,半身倒模款,half-body,native-skin-silicone,0.8,provisional
tmall-1033146604001,半身倒模款,half-body,native-skin-silicone,0.8,provisional
tmall-864339322176,臀部倒模款,hip-lower-body,fine-texture,0.8,provisional
tmall-1008749329121,臀部倒模款,hip-lower-body,native-skin-silicone,0.8,provisional
tmall-997868122989,自动臀部倒模款,hip-lower-body,fine-texture,0.8,provisional
tmall-978357698377,半身倒模款,half-body,native-skin-silicone,0.8,provisional
tmall-1037741386848,半身倒模款,half-body,native-skin-silicone,0.8,provisional
tmall-903284452343,自动臀部倒模款,hip-lower-body,fine-texture,0.8,provisional
tmall-974064324737,官方在售款,other,beginner,0.45,needs-review
tmall-1015501179254,局部倒模款,local-mold,native-skin-silicone,0.8,provisional
tmall-1049922662436,半身倒模款,half-body,native-skin-silicone,0.8,provisional
tmall-1032948274589,半身倒模款,half-body,fine-texture,0.8,provisional
tmall-900429175999,半身倒模款,half-body,fine-texture,0.8,provisional
tmall-851429867792,护理收纳配件,care-accessories,fine-texture,0.8,provisional
tmall-956711010507,半身倒模款,half-body,native-skin-silicone,0.8,provisional
tmall-1047503838777,半身倒模款,half-body,native-skin-silicone,0.8,provisional
tmall-1046323454771,半身倒模款,half-body,native-skin-silicone,0.8,provisional
tmall-935751348502,官方在售款,other,beginner,0.45,needs-review
tmall-839593996256,自动臀部倒模款,hip-lower-body,native-skin-silicone,0.8,provisional
tmall-1026704244735,半身倒模款,half-body,native-skin-silicone,0.8,provisional
tmall-1037064556812,官方在售款,other,fine-texture,0.45,needs-review
tmall-966709910145,半身倒模款,half-body,native-skin-silicone,0.8,provisional
