id,title,categoryId,seriesId,tmallUrl,sold365,image,benefits,priceNote
tmall-915657112223,飞机杯熟女倒模膜真人1比1大屁股男用可插入全自动成人男士性用品,hip-lower-body,fine-texture,https://detail.tmall.com/item.htm?id=915657112223&xxc=shop&mi_id=0000xv1ENES6hzHGT9qruO4wIkA6ZInVqSVDJWPt8GXDgrg,3000+,/images/products/tmall/915657112223.jpg,官方立减15% / 已降82.65元,以天猫商品页实时价格为准
tmall-856316241725,飞机杯半身娃娃倒模膜真人1比1男士自安慰器性用品可插入成人仿真,half-body,fine-texture,https://detail.tmall.com/item.htm?id=856316241725&xxc=shop&mi_id=0000-v1-VfqMhOTkqJWCe-qsXLy2RbR48LfSGQO_WKkTKCo,2000+,/images/products/tmall/856316241725.jpg,官方立减15% / 已降72元,以天猫商品页实时价格为准
tmall-900451599013,飞机杯男用腿模1比1真人实体倒模膜可插入新款充气娃娃加热下半身,half-body,native-skin-silicone,https://detail.tmall.com/item.htm?id=900451599013&xxc=shop&mi_id=0000CbCcYtPa6O5BeGpJ3PjqdGX2LA7YC9NIluk7RN-lI88,1000+,/images/products/tmall/900451599013.jpg,官方立减15% / 已降61元,以天猫商品页实时价格为准
tmall-932717912766,实体半身硅胶娃娃真人倒模真实阴道熟女可插入充气成人男士性用品,half-body,native-skin-silicone,https://detail.tmall.com/item.htm?id=932717912766&xxc=shop&mi_id=00002L8eXsakacgVRo3bfY3kDAxwPgISSo9rLnvgNQlLVJ0,400+,/images/products/tmall/932717912766.jpg,官方立减15% / 已降123元,以天猫商品页实时价格为准
tmall-1034711994048,飞机杯男用下半身实体娃娃腿模仿真1比1可插成人玩具男性用自慰器,half-body,native-skin-silicone,https://detail.tmall.com/item.htm?id=1034711994048&xxc=shop&mi_id=00008-JkO0k0OCvSqCFX_bQE0RNMbS_wB95UKNu44PjGFkg,35,/images/products/tmall/1034711994048.jpg,政府补贴5% / 官方立减15% / 已降64.2元,以天猫商品页实时价格为准
tmall-907956953396,飞机杯自慰器真人1比1熟女大屁股倒臀模可插入新款成人性玩具用品,hip-lower-body,fine-texture,https://detail.tmall.com/item.htm?id=907956953396&xxc=shop&mi_id=0000Hz3N-QLEI22T00odPRvzj0AcaLTMVoj6kWzjdOeAS9E,1000+,/images/products/tmall/907956953396.jpg,政府补贴5% / 官方立减15% / 已降81.25元,以天猫商品页实时价格为准
tmall-848996196197,飞机杯重口味半身倒模膜真人1比1全身娃娃充气可插入成人男士用品,half-body,fine-texture,https://detail.tmall.com/item.htm?id=848996196197&xxc=shop&mi_id=0000Pq-5y6NppbtdSCWQVAJPM7VNL7Vq0ma-Up0zqEskBPQ,500+,/images/products/tmall/848996196197.jpg,官方立减15% / 已降118元,以天猫商品页实时价格为准
tmall-1055031288751,飞机杯男用自慰器真人半身倒模真实通道成人情趣性用品玩具插入式,half-body,fine-texture,https://detail.tmall.com/item.htm?id=1055031288751&xxc=shop&mi_id=0000Y4PfnPkke6sizwBo0KHOYJcjaOyN0yQtIGpmrH5KEB4,54,/images/products/tmall/1055031288751.jpg,已降50元,以天猫商品页实时价格为准
tmall-1003179680764,半身全腿娃娃飞机杯男用真人倒模可插入实体全身硅胶1比1成人用品,half-body,native-skin-silicone,https://detail.tmall.com/item.htm?id=1003179680764&xxc=shop&mi_id=00004BruTb0fuSZXVM65NlWsFikAUT_AXAXhLT9QP-KRbns,100+,/images/products/tmall/1003179680764.jpg,官方立减15% / 已降295元,以天猫商品页实时价格为准
tmall-1033146604001,飞机杯硅胶实体半身娃娃可插入欧美重口味真人倒模成人男用自慰器,half-body,native-skin-silicone,https://detail.tmall.com/item.htm?id=1033146604001&xxc=shop&mi_id=0000HvSfDF13zLGvV5AY-kqNIWdoP72Mdleo_3kCSp8KdCo,40,/images/products/tmall/1033146604001.jpg,官方立减15% / 已降302元,以天猫商品页实时价格为准
tmall-864339322176,飞机杯阴臀倒模膜男用熟女真人版可插入双通道新款成人男士性用品,hip-lower-body,fine-texture,https://detail.tmall.com/item.htm?id=864339322176&xxc=shop&mi_id=0000w7p6eoBRqgTFA7NatCexYwaxiJLIPzLEhzKc8JrHJV8,600+,/images/products/tmall/864339322176.jpg,政府补贴5% / 官方立减15% / 已降65.65元,以天猫商品页实时价格为准
