productId,sourceTitle,displayName,shortName,contentStatus,note
tmall-915657112223,飞机杯熟女倒模膜真人1比1大屁股男用可插入全自动成人男士性用品,自动臀部倒模款,自动倒模,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
tmall-856316241725,飞机杯半身娃娃倒模膜真人1比1男士自安慰器性用品可插入成人仿真,半身倒模款,半身款,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
tmall-900451599013,飞机杯男用腿模1比1真人实体倒模膜可插入新款充气娃娃加热下半身,半身倒模款,半身款,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
tmall-932717912766,实体半身硅胶娃娃真人倒模真实阴道熟女可插入充气成人男士性用品,半身倒模款,半身款,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
tmall-1034711994048,飞机杯男用下半身实体娃娃腿模仿真1比1可插成人玩具男性用自慰器,半身倒模款,半身款,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
tmall-907956953396,飞机杯自慰器真人1比1熟女大屁股倒臀模可插入新款成人性玩具用品,臀部倒模款,臀部倒模,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
tmall-848996196197,飞机杯重口味半身倒模膜真人1比1全身娃娃充气可插入成人男士用品,半身倒模款,半身款,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
tmall-1055031288751,飞机杯男用自慰器真人半身倒模真实通道成人情趣性用品玩具插入式,半身倒模款,半身款,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
tmall-1003179680764,半身全腿娃娃飞机杯男用真人倒模可插入实体全身硅胶1比1成人用品,半身倒模款,半身款,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
tmall-1033146604001,飞机杯硅胶实体半身娃娃可插入欧美重口味真人倒模成人男用自慰器,半身倒模款,半身款,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
tmall-864339322176,飞机杯阴臀倒模膜男用熟女真人版可插入双通道新款成人男士性用品,臀部倒模款,臀部倒模,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
